Status | Name | Type | Operating system | IP | NetBIOS name | NetBIOS group | Manufacturer | MAC address | User
unknown |  |  |  | 10.1.4.64 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.86 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.66 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.60 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.61 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.43 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.20 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.31 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.76 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.96 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.35 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.91 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.84 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.23 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.56 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.32 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.44 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.85 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.51 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.63 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.88 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.94 |  |  |  | 00:00:00:00:00:00 | 
alive | VIPS0104 |  |  | 10.1.4.100 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.102 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.101 |  |  |  | 00:00:00:00:00:00 | 
alive | ES332S-B63F86 |  |  | 10.1.4.174 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.147 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.145 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.127 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.126 |  |  |  | 00:00:00:00:00:00 | 
alive |  |  |  | 10.1.4.154 |  |  |  | 00:00:00:00:00:00 | 
alive | POS0010459 |  |  | 10.1.4.139 |  |  |  | 00:00:00:00:00:00 | 
alive | POS0010458 |  |  | 10.1.4.138 |  |  |  | 00:00:00:00:00:00 | 
alive | POS0010455 |  |  | 10.1.4.135 |  |  |  | 00:00:00:00:00:00 | 
alive | POS0010454 |  |  | 10.1.4.134 |  |  |  | 00:00:00:00:00:00 | 
alive | POS0010456 |  |  | 10.1.4.136 |  |  |  | 00:00:00:00:00:00 | 
alive | POS0010453 |  |  | 10.1.4.133 |  |  |  | 00:00:00:00:00:00 | 
alive | POS0010452 |  |  | 10.1.4.132 |  |  |  | 00:00:00:00:00:00 | 
alive | SIGS2396502FL3 |  |  | 10.1.4.2 |  |  |  | 00:00:00:00:00:00 | 
alive | SIGS2396502FL3 |  |  | 10.1.4.1 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.172 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.103 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.117 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.171 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.97 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.152 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.151 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.113 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.116 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.108 |  |  |  | 00:00:00:00:00:00 | 
unknown |  |  |  | 10.1.4.104 |  |  |  | 00:00:00:00:00:00 | 
