025+;STARBUCKS;#036235
024+;STARBUCKS;#036235
049+;STARBUCKS;#036235
046+;STARBUCKS;#036235
01+...;GINOS;#813709
055+;GINOS;#813709
001+..;VIPS;#e21f27
002+..;VIPS;#e21f27
003+..;VIPS;#e21f27
005+..;VIPS;#e21f27
058+;VIPS;#e21f27
05[01234]+..;VIPS SMART;#FF7B59
056+;VIPS SMART;#FF7B59
039+;FRIDAYS;#861141
041+;WAGAMAMA;#808080
